city,company_addr,company_industry,company_name,create_time,day_salary,district,job_direction,job_edu,job_exp,job_name,month_salary,publish_man,publish_man_post,publish_time,retain1,retain2,retain3,retain4,source,update_time,url
北京,海淀区,"移动互联网,数据服务",北京字节跳动科技有限公司,,,海淀区,10,本科,不限,测试实习生,5k-7k,字节跳动,字节跳动,2018-11-08 15:26:57,,,,,拉勾网,,https://www.lagou.com/jobs/3511116.html
北京,朝阳区,移动互联网,北京九识佳科技有限公司,,,朝阳区,10,本科,应届毕业生,测试,3k-6k,小肚皮App,小肚皮App,2018-11-08 09:51:35,,,,,拉勾网,,https://www.lagou.com/jobs/1087800.html
北京,海淀区,"移动互联网,教育",北京世纪好未来教育科技有限公司,,,海淀区,10,本科,1年以下,测试部-信息核查实习生,4k-5k,好未来,好未来,2018-11-08 17:00:36,,,,,拉勾网,,https://www.lagou.com/jobs/5306842.html
北京,海淀区,文化娱乐,新浪网技术（中国）有限公司,,,海淀区,10,本科,应届毕业生,测试实习生,1k-2k,新浪网,新浪网,2018-11-05 10:12:10,,,,,拉勾网,,https://www.lagou.com/jobs/4065606.html
北京,朝阳区,"移动互联网,企业服务",维我软件（上海）有限公司北京分公司,,,朝阳区,10,本科,不限,QA Intern,4k-5k,Veeva,Veeva,2018-11-08 11:22:08,,,,,拉勾网,,https://www.lagou.com/jobs/4627261.html
北京,朝阳区,"移动互联网,游戏",北京数字天域科技有限责任公司,,,朝阳区,10,本科,应届毕业生,测试工程师,4k-6k,联络互动,联络互动,2018-11-08 09:38:27,,,,,拉勾网,,https://www.lagou.com/jobs/5280414.html
北京,海淀区,"移动互联网,教育",小船出海教育科技（北京）有限公司,,,海淀区,10,本科,不限,测试开发实习生,3k-5k,作业帮,作业帮,2018-11-01 11:28:08,,,,,拉勾网,,https://www.lagou.com/jobs/5057189.html
北京,海淀区,"移动互联网,硬件",北京旷视科技有限公司,,,海淀区,10,本科,1年以下,测试开发实习生,3k-4k,Face++,Face++,2018-11-07 18:20:08,,,,,拉勾网,,https://www.lagou.com/jobs/5147621.html
北京,海淀区,移动互联网,北京市商汤科技开发有限公司,,,海淀区,10,本科,应届毕业生,测试开发实习生,5k-8k,商汤科技,商汤科技,2018-11-08 16:09:52,,,,,拉勾网,,https://www.lagou.com/jobs/5254931.html
北京,海淀区,"电子商务,移动互联网",网易（杭州）有限公司,,,海淀区,10,本科,应届毕业生,测试开发实习生,3k-4k,网易,网易,2018-11-05 09:31:06,,,,,拉勾网,,https://www.lagou.com/jobs/4993142.html
北京,海淀区,广告营销,北京新意互动广告有限公司,,,海淀区,10,本科,应届毕业生,测试实习生,3k-4k,新意互动,新意互动,2018-11-08 15:10:42,,,,,拉勾网,,https://www.lagou.com/jobs/5127796.html
北京,朝阳区,"电子商务,企业服务",汉唐信通（北京）咨询有限公司,,,朝阳区,10,本科,应届毕业生,测试实习,6k-10k,汉唐信通,汉唐信通,2018-11-08 20:23:58,,,,,拉勾网,,https://www.lagou.com/jobs/5307639.html
